title,difficulty_short,difficulty,level,notes
Electro Tuned(the SubS mix),SPN,2,4,390
Electro Tuned(the SubS mix),SPH,3,5,483
Electro Tuned(the SubS mix),SPA,4,6,537
Electro Tuned(the SubS mix),SPL,5,-1,-1
I Was The One,SPB,1,-1,-1
I Was The One,SPN,2,3,272
I Was The One,SPH,3,3,326
I Was The One,SPA,4,4,348
I Was The One,SPL,5,-1,-1
Indigo Vision(full flavour hide around mix),SPB,1,-1,-1
Indigo Vision(full flavour hide around mix),SPN,2,3,442
Indigo Vision(full flavour hide around mix),SPH,3,5,569
Indigo Vision(full flavour hide around mix),SPA,4,8,617
Indigo Vision(full flavour hide around mix),SPL,5,-1,-1
PUT YOUR FAITH IN ME(for beatmania II),SPB,1,-1,-1
PUT YOUR FAITH IN ME(for beatmania II),SPN,2,3,291
PUT YOUR FAITH IN ME(for beatmania II),SPH,3,6,434
PUT YOUR FAITH IN ME(for beatmania II),SPA,4,-1,-1
PUT YOUR FAITH IN ME(for beatmania II),SPL,5,-1,-1
SP-TRIP MACHINE(for beatmania II),SPB,1,-1,-1
SP-TRIP MACHINE(for beatmania II),SPN,2,3,254
SP-TRIP MACHINE(for beatmania II),SPH,3,4,313
SP-TRIP MACHINE(for beatmania II),SPA,4,4,324
SP-TRIP MACHINE(for beatmania II),SPL,5,-1,-1
CAN'T STOP FALLIN'IN LOVE,SPB,1,-1,-1
CAN'T STOP FALLIN'IN LOVE,SPN,2,4,310
CAN'T STOP FALLIN'IN LOVE,SPH,3,8,632
CAN'T STOP FALLIN'IN LOVE,SPA,4,-1,-1
CAN'T STOP FALLIN'IN LOVE,SPL,5,-1,-1
Don't Stop!,SPB,1,-1,-1
Don't Stop!,SPN,2,4,389
Don't Stop!,SPH,3,4,428
Don't Stop!,SPA,4,4,453
Don't Stop!,SPL,5,-1,-1
era (nostalmix),SPB,1,-1,-1
era (nostalmix),SPN,2,5,437
era (nostalmix),SPH,3,8,555
era (nostalmix),SPA,4,9,786
era (nostalmix),SPL,5,-1,-1
Holic,SPB,1,-1,-1
Holic,SPN,2,5,395
Holic,SPH,3,7,624
Holic,SPA,4,11,880
Holic,SPL,5,-1,-1
LEADING CYBER,SPB,1,-1,-1
LEADING CYBER,SPN,2,4,434
LEADING CYBER,SPH,3,6,611
LEADING CYBER,SPA,4,7,645
LEADING CYBER,SPL,5,-1,-1
Presto,SPB,1,-1,-1
Presto,SPN,2,3,273
Presto,SPH,3,8,498
Presto,SPA,4,8,508
Presto,SPL,5,-1,-1
R5,SPB,1,-1,-1
R5,SPN,2,5,387
R5,SPH,3,8,588
R5,SPA,4,11,889
R5,SPL,5,-1,-1
REINCARNATION,SPB,1,-1,-1
REINCARNATION,SPN,2,4,424
REINCARNATION,SPH,3,5,525
REINCARNATION,SPA,4,7,643
REINCARNATION,SPL,5,-1,-1
Schlagwerk,SPB,1,-1,-1
Schlagwerk,SPN,2,4,414
Schlagwerk,SPH,3,6,663
Schlagwerk,SPA,4,8,848
Schlagwerk,SPL,5,-1,-1
Skyscraper,SPB,1,-1,-1
Skyscraper,SPN,2,4,372
Skyscraper,SPH,3,6,610
Skyscraper,SPA,4,7,629
Skyscraper,SPL,5,-1,-1
Tangerine Stream,SPB,1,-1,-1
Tangerine Stream,SPN,2,2,141
Tangerine Stream,SPH,3,3,198
Tangerine Stream,SPA,4,-1,-1
Tangerine Stream,SPL,5,-1,-1
THE SAFARI,SPB,1,2,183
THE SAFARI,SPN,2,7,618
THE SAFARI,SPH,3,10,900
THE SAFARI,SPA,4,-1,-1
THE SAFARI,SPL,5,-1,-1
250bpm,SPB,1,-1,-1
250bpm,SPN,2,5,353
250bpm,SPH,3,8,528
250bpm,SPA,4,10,726
250bpm,SPL,5,-1,-1
ABSOLUTE,SPB,1,-1,-1
ABSOLUTE,SPN,2,6,682
ABSOLUTE,SPH,3,8,935
ABSOLUTE,SPA,4,10,1218
ABSOLUTE,SPL,5,11,1412
B4U,SPB,1,-1,-1
B4U,SPN,2,5,538
B4U,SPH,3,9,801
B4U,SPA,4,10,1014
B4U,SPL,5,-1,-1
Broken My Heart,SPB,1,-1,-1
Broken My Heart,SPN,2,5,474
Broken My Heart,SPH,3,7,751
Broken My Heart,SPA,4,9,914
Broken My Heart,SPL,5,-1,-1
Burnin' The Floor,SPB,1,-1,-1
Burnin' The Floor,SPN,2,4,293
Burnin' The Floor,SPH,3,4,478
Burnin' The Floor,SPA,4,7,721
Burnin' The Floor,SPL,5,-1,-1
CHECKING YOU OUT,SPB,1,-1,-1
CHECKING YOU OUT,SPN,2,7,339
CHECKING YOU OUT,SPH,3,9,481
CHECKING YOU OUT,SPA,4,11,700
CHECKING YOU OUT,SPL,5,-1,-1
Clione,SPB,1,-1,-1
Clione,SPN,2,4,264
Clione,SPH,3,5,479
Clione,SPA,4,9,811
Clione,SPL,5,11,1102
DXY!,SPB,1,-1,-1
DXY!,SPN,2,6,651
DXY!,SPH,3,9,968
DXY!,SPA,4,10,1158
DXY!,SPL,5,-1,-1
empathy,SPB,1,-1,-1
empathy,SPN,2,5,416
empathy,SPH,3,7,703
empathy,SPA,4,8,743
empathy,SPL,5,-1,-1
era (step mix),SPB,1,-1,-1
era (step mix),SPN,2,5,565
era (step mix),SPH,3,8,733
era (step mix),SPA,4,9,875
era (step mix),SPL,5,-1,-1
FLOWERS for ALBION,SPB,1,-1,-1
FLOWERS for ALBION,SPN,2,2,122
FLOWERS for ALBION,SPH,3,5,222
FLOWERS for ALBION,SPA,4,-1,-1
FLOWERS for ALBION,SPL,5,-1,-1
HIGHER,SPB,1,-1,-1
HIGHER,SPN,2,3,270
HIGHER,SPH,3,4,468
HIGHER,SPA,4,6,641
HIGHER,SPL,5,-1,-1
Hitch Hiker2,SPB,1,-1,-1
Hitch Hiker2,SPN,2,4,420
Hitch Hiker2,SPH,3,6,609
Hitch Hiker2,SPA,4,7,665
Hitch Hiker2,SPL,5,9,976
Jam&Marmalade,SPB,1,-1,-1
Jam&Marmalade,SPN,2,6,388
Jam&Marmalade,SPH,3,7,456
Jam&Marmalade,SPA,4,8,512
Jam&Marmalade,SPL,5,-1,-1
KAMIKAZE,SPB,1,-1,-1
KAMIKAZE,SPN,2,5,515
KAMIKAZE,SPH,3,6,745
KAMIKAZE,SPA,4,10,1157
KAMIKAZE,SPL,5,-1,-1
LOVE WILL・・・,SPB,1,-1,-1
LOVE WILL・・・,SPN,2,4,279
LOVE WILL・・・,SPH,3,4,379
LOVE WILL・・・,SPA,4,7,732
LOVE WILL・・・,SPL,5,-1,-1
minimalian,SPB,1,-1,-1
minimalian,SPN,2,3,271
minimalian,SPH,3,8,555
minimalian,SPA,4,9,706
minimalian,SPL,5,-1,-1
Mr.T.(take me higher),SPB,1,-1,-1
Mr.T.(take me higher),SPN,2,4,428
Mr.T.(take me higher),SPH,3,5,510
Mr.T.(take me higher),SPA,4,10,889
Mr.T.(take me higher),SPL,5,-1,-1
starmine,SPB,1,2,224
starmine,SPN,2,5,456
starmine,SPH,3,8,719
starmine,SPA,4,9,800
starmine,SPL,5,-1,-1
SWEET LAB,SPB,1,-1,-1
SWEET LAB,SPN,2,3,280
SWEET LAB,SPH,3,6,496
SWEET LAB,SPA,4,10,692
SWEET LAB,SPL,5,-1,-1
Voltage (feat. Hidemaru),SPB,1,-1,-1
Voltage (feat. Hidemaru),SPN,2,5,480
Voltage (feat. Hidemaru),SPH,3,7,630
Voltage (feat. Hidemaru),SPA,4,8,670
Voltage (feat. Hidemaru),SPL,5,-1,-1
Abyss,SPB,1,-1,-1
Abyss,SPN,2,5,639
Abyss,SPH,3,7,817
Abyss,SPA,4,8,945
Abyss,SPL,5,-1,-1
in my eyes,SPB,1,-1,-1
in my eyes,SPN,2,5,484
in my eyes,SPH,3,6,739
in my eyes,SPA,4,7,798
in my eyes,SPL,5,-1,-1
LOVE AGAIN TONIGHT～for Mellisa mix～,SPB,1,-1,-1
LOVE AGAIN TONIGHT～for Mellisa mix～,SPN,2,4,385
LOVE AGAIN TONIGHT～for Mellisa mix～,SPH,3,5,501
LOVE AGAIN TONIGHT～for Mellisa mix～,SPA,4,6,561
LOVE AGAIN TONIGHT～for Mellisa mix～,SPL,5,-1,-1
outer wall,SPB,1,-1,-1
outer wall,SPN,2,5,474
outer wall,SPH,3,6,687
outer wall,SPA,4,8,892
outer wall,SPL,5,-1,-1
QQQ,SPB,1,-1,-1
QQQ,SPN,2,5,621
QQQ,SPH,3,8,961
QQQ,SPA,4,10,1091
QQQ,SPL,5,-1,-1
Radical Faith,SPB,1,-1,-1
Radical Faith,SPN,2,5,602
Radical Faith,SPH,3,6,768
Radical Faith,SPA,4,7,660
Radical Faith,SPL,5,-1,-1
Real,SPB,1,-1,-1
Real,SPN,2,5,580
Real,SPH,3,8,866
Real,SPA,4,9,920
Real,SPL,5,-1,-1
Regulus,SPB,1,-1,-1
Regulus,SPN,2,6,551
Regulus,SPH,3,9,788
Regulus,SPA,4,10,881
Regulus,SPL,5,-1,-1
RIDE ON THE LIGHT (HI GREAT MIX),SPB,1,-1,-1
RIDE ON THE LIGHT (HI GREAT MIX),SPN,2,4,452
RIDE ON THE LIGHT (HI GREAT MIX),SPH,3,5,548
RIDE ON THE LIGHT (HI GREAT MIX),SPA,4,8,862
RIDE ON THE LIGHT (HI GREAT MIX),SPL,5,10,931
RISLIM,SPB,1,-1,-1
RISLIM,SPN,2,4,463
RISLIM,SPH,3,7,625
RISLIM,SPA,4,-1,-1
RISLIM,SPL,5,-1,-1
sometime,SPB,1,-1,-1
sometime,SPN,2,4,393
sometime,SPH,3,6,539
sometime,SPA,4,8,672
sometime,SPL,5,-1,-1
Spin the disc,SPB,1,-1,-1
Spin the disc,SPN,2,5,409
Spin the disc,SPH,3,7,659
Spin the disc,SPA,4,8,674
Spin the disc,SPL,5,-1,-1
STILL IN MY HEART,SPB,1,-1,-1
STILL IN MY HEART,SPN,2,5,517
STILL IN MY HEART,SPH,3,7,705
STILL IN MY HEART,SPA,4,9,971
STILL IN MY HEART,SPL,5,-1,-1
still my words,SPB,1,-1,-1
still my words,SPN,2,4,464
still my words,SPH,3,6,619
still my words,SPA,4,-1,-1
still my words,SPL,5,-1,-1
sync,SPB,1,-1,-1
sync,SPN,2,6,549
sync,SPH,3,8,982
sync,SPA,4,10,1204
sync,SPL,5,-1,-1
THE CUBE,SPB,1,-1,-1
THE CUBE,SPN,2,4,374
THE CUBE,SPH,3,6,644
THE CUBE,SPA,4,7,682
THE CUBE,SPL,5,-1,-1
THE SHINING POLARIS,SPB,1,-1,-1
THE SHINING POLARIS,SPN,2,5,485
THE SHINING POLARIS,SPH,3,7,667
THE SHINING POLARIS,SPA,4,8,799
THE SHINING POLARIS,SPL,5,-1,-1
V,SPB,1,2,173
V,SPN,2,5,646
V,SPH,3,10,1272
V,SPA,4,12,1519
V,SPL,5,-1,-1
19，November,SPB,1,-1,-1
19，November,SPN,2,5,560
19，November,SPH,3,6,733
19，November,SPA,4,8,910
19，November,SPL,5,-1,-1
BALLAD FOR YOU～想いの雨～,SPB,1,-1,-1
BALLAD FOR YOU～想いの雨～,SPN,2,4,297
BALLAD FOR YOU～想いの雨～,SPH,3,5,387
BALLAD FOR YOU～想いの雨～,SPA,4,7,537
BALLAD FOR YOU～想いの雨～,SPL,5,-1,-1
Blueberry Stream,SPB,1,-1,-1
Blueberry Stream,SPN,2,5,429
Blueberry Stream,SPH,3,7,770
Blueberry Stream,SPA,4,8,846
Blueberry Stream,SPL,5,-1,-1
Buffalo,SPB,1,-1,-1
Buffalo,SPN,2,5,511
Buffalo,SPH,3,7,744
Buffalo,SPA,4,10,932
Buffalo,SPL,5,11,1287
Colors (radio edit),SPB,1,-1,-1
Colors (radio edit),SPN,2,6,751
Colors (radio edit),SPH,3,9,1011
Colors (radio edit),SPA,4,12,1258
Colors (radio edit),SPL,5,-1,-1
DIVE ～INTO YOUR HEART～,SPB,1,-1,-1
DIVE ～INTO YOUR HEART～,SPN,2,5,656
DIVE ～INTO YOUR HEART～,SPH,3,8,945
DIVE ～INTO YOUR HEART～,SPA,4,10,1066
DIVE ～INTO YOUR HEART～,SPL,5,-1,-1
fly through the night,SPB,1,-1,-1
fly through the night,SPN,2,4,452
fly through the night,SPH,3,7,688
fly through the night,SPA,4,8,863
fly through the night,SPL,5,-1,-1
Free Style,SPB,1,-1,-1
Free Style,SPN,2,5,473
Free Style,SPH,3,6,571
Free Style,SPA,4,7,664
Free Style,SPL,5,-1,-1
Frozen Ray (original mix),SPB,1,-1,-1
Frozen Ray (original mix),SPN,2,6,669
Frozen Ray (original mix),SPH,3,9,897
Frozen Ray (original mix),SPA,4,9,909
Frozen Ray (original mix),SPL,5,-1,-1
G2,SPB,1,-1,-1
G2,SPN,2,8,752
G2,SPH,3,9,942
G2,SPA,4,11,1188
G2,SPL,5,-1,-1
Linus,SPB,1,-1,-1
Linus,SPN,2,5,489
Linus,SPH,3,9,789
Linus,SPA,4,11,1105
Linus,SPL,5,-1,-1
NEMESIS,SPB,1,-1,-1
NEMESIS,SPN,2,5,524
NEMESIS,SPH,3,9,839
NEMESIS,SPA,4,11,973
NEMESIS,SPL,5,-1,-1
rottel-da-sun,SPB,1,-1,-1
rottel-da-sun,SPN,2,5,417
rottel-da-sun,SPH,3,8,692
rottel-da-sun,SPA,4,10,936
rottel-da-sun,SPL,5,-1,-1
route 80s,SPB,1,-1,-1
route 80s,SPN,2,6,457
route 80s,SPH,3,8,614
route 80s,SPA,4,9,766
route 80s,SPL,5,-1,-1
SOMETHING WONDERFUL,SPB,1,-1,-1
SOMETHING WONDERFUL,SPN,2,6,471
SOMETHING WONDERFUL,SPH,3,8,688
SOMETHING WONDERFUL,SPA,4,10,1003
SOMETHING WONDERFUL,SPL,5,-1,-1
Summer Vacation(CU mix),SPB,1,-1,-1
Summer Vacation(CU mix),SPN,2,6,667
Summer Vacation(CU mix),SPH,3,9,949
Summer Vacation(CU mix),SPA,4,-1,-1
Summer Vacation(CU mix),SPL,5,-1,-1
Take It Easy,SPB,1,-1,-1
Take It Easy,SPN,2,7,760
Take It Easy,SPH,3,10,1229
Take It Easy,SPA,4,11,1282
Take It Easy,SPL,5,-1,-1
VJ ARMY,SPB,1,-1,-1
VJ ARMY,SPN,2,6,660
VJ ARMY,SPH,3,9,901
VJ ARMY,SPA,4,10,1149
VJ ARMY,SPL,5,-1,-1
こっちを向いてよ,SPB,1,-1,-1
こっちを向いてよ,SPN,2,5,438
こっちを向いてよ,SPH,3,6,667
こっちを向いてよ,SPA,4,7,703
こっちを向いてよ,SPL,5,-1,-1
電人イェーガーのテーマ(Theme of DENJIN J),SPB,1,-1,-1
電人イェーガーのテーマ(Theme of DENJIN J),SPN,2,5,563
電人イェーガーのテーマ(Theme of DENJIN J),SPH,3,7,796
電人イェーガーのテーマ(Theme of DENJIN J),SPA,4,-1,-1
電人イェーガーのテーマ(Theme of DENJIN J),SPL,5,-1,-1
A,SPB,1,-1,-1
A,SPN,2,6,666
A,SPH,3,10,1111
A,SPA,4,12,1260
A,SPL,5,-1,-1
AVE DE RAPINA,SPB,1,-1,-1
AVE DE RAPINA,SPN,2,6,713
AVE DE RAPINA,SPH,3,8,882
AVE DE RAPINA,SPA,4,9,934
AVE DE RAPINA,SPL,5,-1,-1
Bad Routine,SPB,1,-1,-1
Bad Routine,SPN,2,5,522
Bad Routine,SPH,3,7,716
Bad Routine,SPA,4,9,964
Bad Routine,SPL,5,-1,-1
Burning Heat! (Full Option Mix),SPB,1,-1,-1
Burning Heat! (Full Option Mix),SPN,2,4,361
Burning Heat! (Full Option Mix),SPH,3,5,494
Burning Heat! (Full Option Mix),SPA,4,7,755
Burning Heat! (Full Option Mix),SPL,5,-1,-1
Cheer Train,SPB,1,-1,-1
Cheer Train,SPN,2,5,470
Cheer Train,SPH,3,6,623
Cheer Train,SPA,4,9,880
Cheer Train,SPL,5,-1,-1
D2R,SPB,1,-1,-1
D2R,SPN,2,5,494
D2R,SPH,3,6,671
D2R,SPA,4,8,823
D2R,SPL,5,-1,-1
DESTINY,SPB,1,-1,-1
DESTINY,SPN,2,5,546
DESTINY,SPH,3,6,700
DESTINY,SPA,4,8,925
DESTINY,SPL,5,-1,-1
foreplay,SPB,1,-1,-1
foreplay,SPN,2,4,357
foreplay,SPH,3,8,631
foreplay,SPA,4,8,684
foreplay,SPL,5,-1,-1
Glorious Days,SPB,1,-1,-1
Glorious Days,SPN,2,3,262
Glorious Days,SPH,3,5,411
Glorious Days,SPA,4,6,463
Glorious Days,SPL,5,-1,-1
Happy Wedding,SPB,1,-1,-1
Happy Wedding,SPN,2,6,620
Happy Wedding,SPH,3,7,872
Happy Wedding,SPA,4,8,940
Happy Wedding,SPL,5,-1,-1
Last Message,SPB,1,-1,-1
Last Message,SPN,2,5,513
Last Message,SPH,3,8,682
Last Message,SPA,4,9,819
Last Message,SPL,5,-1,-1
Let the Snow Paint Me,SPB,1,-1,-1
Let the Snow Paint Me,SPN,2,4,431
Let the Snow Paint Me,SPH,3,6,537
Let the Snow Paint Me,SPA,4,7,624
Let the Snow Paint Me,SPL,5,-1,-1
Love Me Do,SPB,1,-1,-1
Love Me Do,SPN,2,5,571
Love Me Do,SPH,3,7,857
Love Me Do,SPA,4,9,1058
Love Me Do,SPL,5,-1,-1
Spica,SPB,1,-1,-1
Spica,SPN,2,4,328
Spica,SPH,3,9,772
Spica,SPA,4,11,1167
Spica,SPL,5,-1,-1
stoic,SPB,1,-1,-1
stoic,SPN,2,8,874
stoic,SPH,3,10,1250
stoic,SPA,4,11,1302
stoic,SPL,5,-1,-1
Tomorrow Perfume,SPB,1,-1,-1
Tomorrow Perfume,SPN,2,6,685
Tomorrow Perfume,SPH,3,9,1000
Tomorrow Perfume,SPA,4,9,1085
Tomorrow Perfume,SPL,5,-1,-1
traces,SPB,1,-1,-1
traces,SPN,2,6,778
traces,SPH,3,9,982
traces,SPA,4,10,1083
traces,SPL,5,-1,-1
ZERO-ONE,SPB,1,-1,-1
ZERO-ONE,SPN,2,5,556
ZERO-ONE,SPH,3,9,874
ZERO-ONE,SPA,4,10,1132
ZERO-ONE,SPL,5,-1,-1
革命,SPB,1,-1,-1
革命,SPN,2,6,392
革命,SPH,3,10,1004
革命,SPA,4,10,1183
革命,SPL,5,-1,-1
abstract,SPB,1,-1,-1
abstract,SPN,2,6,659
abstract,SPH,3,9,831
abstract,SPA,4,9,960
abstract,SPL,5,-1,-1
airflow,SPB,1,-1,-1
airflow,SPN,2,3,295
airflow,SPH,3,5,402
airflow,SPA,4,7,721
airflow,SPL,5,-1,-1
ALL RIGHT,SPB,1,-1,-1
ALL RIGHT,SPN,2,4,446
ALL RIGHT,SPH,3,8,658
ALL RIGHT,SPA,4,9,815
ALL RIGHT,SPL,5,-1,-1
Attitude,SPB,1,-1,-1
Attitude,SPN,2,5,527
Attitude,SPH,3,8,721
Attitude,SPA,4,9,881
Attitude,SPL,5,-1,-1
bit mania,SPB,1,-1,-1
bit mania,SPN,2,4,458
bit mania,SPH,3,5,643
bit mania,SPA,4,8,934
bit mania,SPL,5,-1,-1
Blame,SPB,1,-1,-1
Blame,SPN,2,6,611
Blame,SPH,3,7,796
Blame,SPA,4,11,980
Blame,SPL,5,-1,-1
CELEBRATE NITE,SPB,1,-1,-1
CELEBRATE NITE,SPN,2,5,471
CELEBRATE NITE,SPH,3,6,591
CELEBRATE NITE,SPA,4,8,714
CELEBRATE NITE,SPL,5,-1,-1
Colors -Y&Co. Eurobeat Remix-,SPB,1,-1,-1
Colors -Y&Co. Eurobeat Remix-,SPN,2,5,585
Colors -Y&Co. Eurobeat Remix-,SPH,3,9,1029
Colors -Y&Co. Eurobeat Remix-,SPA,4,10,1100
Colors -Y&Co. Eurobeat Remix-,SPL,5,-1,-1
dual control,SPB,1,-1,-1
dual control,SPN,2,5,403
dual control,SPH,3,7,763
dual control,SPA,4,9,961
dual control,SPL,5,-1,-1
Giudecca,SPB,1,-1,-1
Giudecca,SPN,2,4,470
Giudecca,SPH,3,9,1016
Giudecca,SPA,4,11,1381
Giudecca,SPL,5,-1,-1
Halfway of promise,SPB,1,-1,-1
Halfway of promise,SPN,2,4,481
Halfway of promise,SPH,3,8,781
Halfway of promise,SPA,4,11,940
Halfway of promise,SPL,5,-1,-1
HYPER BOUNDARY GATE,SPB,1,-1,-1
HYPER BOUNDARY GATE,SPN,2,6,646
HYPER BOUNDARY GATE,SPH,3,8,976
HYPER BOUNDARY GATE,SPA,4,9,1115
HYPER BOUNDARY GATE,SPL,5,-1,-1
LAB,SPB,1,-1,-1
LAB,SPN,2,5,534
LAB,SPH,3,9,1029
LAB,SPA,4,10,1075
LAB,SPL,5,-1,-1
LOVE IS ORANGE,SPB,1,-1,-1
LOVE IS ORANGE,SPN,2,4,399
LOVE IS ORANGE,SPH,3,6,519
LOVE IS ORANGE,SPA,4,8,903
LOVE IS ORANGE,SPL,5,10,1059
Luv 2 Feel Your Body,SPB,1,-1,-1
Luv 2 Feel Your Body,SPN,2,4,437
Luv 2 Feel Your Body,SPH,3,6,542
Luv 2 Feel Your Body,SPA,4,9,839
Luv 2 Feel Your Body,SPL,5,-1,-1
memories,SPB,1,-1,-1
memories,SPN,2,5,578
memories,SPH,3,9,1056
memories,SPA,4,9,1157
memories,SPL,5,-1,-1
Monkey Dance,SPB,1,-1,-1
Monkey Dance,SPN,2,4,413
Monkey Dance,SPH,3,7,690
Monkey Dance,SPA,4,9,997
Monkey Dance,SPL,5,-1,-1
murmur twins,SPB,1,-1,-1
murmur twins,SPN,2,5,567
murmur twins,SPH,3,9,854
murmur twins,SPA,4,11,1207
murmur twins,SPL,5,-1,-1
MUSIC TO YOUR HEAD,SPB,1,-1,-1
MUSIC TO YOUR HEAD,SPN,2,4,415
MUSIC TO YOUR HEAD,SPH,3,7,743
MUSIC TO YOUR HEAD,SPA,4,9,849
MUSIC TO YOUR HEAD,SPL,5,-1,-1
PLEASE DON'T GO,SPB,1,-1,-1
PLEASE DON'T GO,SPN,2,5,505
PLEASE DON'T GO,SPH,3,7,715
PLEASE DON'T GO,SPA,4,12,1251
PLEASE DON'T GO,SPL,5,-1,-1
rainbow flyer,SPB,1,-1,-1
rainbow flyer,SPN,2,5,422
rainbow flyer,SPH,3,9,859
rainbow flyer,SPA,4,11,1081
rainbow flyer,SPL,5,-1,-1
symbolic,SPB,1,-1,-1
symbolic,SPN,2,6,734
symbolic,SPH,3,9,952
symbolic,SPA,4,10,1138
symbolic,SPL,5,-1,-1
thunder,SPB,1,-1,-1
thunder,SPN,2,6,609
thunder,SPH,3,8,817
thunder,SPA,4,9,959
thunder,SPL,5,-1,-1
WAR GAME,SPB,1,-1,-1
WAR GAME,SPN,2,4,488
WAR GAME,SPH,3,8,789
WAR GAME,SPA,4,10,1077
WAR GAME,SPL,5,-1,-1
World Wide Love,SPB,1,-1,-1
World Wide Love,SPN,2,3,353
World Wide Love,SPH,3,5,526
World Wide Love,SPA,4,5,559
World Wide Love,SPL,5,-1,-1
xenon,SPB,1,-1,-1
xenon,SPN,2,5,570
xenon,SPH,3,9,867
xenon,SPA,4,11,1379
xenon,SPL,5,-1,-1
桜,SPB,1,-1,-1
桜,SPN,2,7,541
桜,SPH,3,10,819
桜,SPA,4,12,1123
桜,SPL,5,-1,-1
蒼い衝動,SPB,1,-1,-1
蒼い衝動,SPN,2,5,468
蒼い衝動,SPH,3,7,694
蒼い衝動,SPA,4,8,803
蒼い衝動,SPL,5,-1,-1
Abyss -The Heavens Remix-,SPB,1,3,288
Abyss -The Heavens Remix-,SPN,2,7,766
Abyss -The Heavens Remix-,SPH,3,10,938
Abyss -The Heavens Remix-,SPA,4,10,1188
Abyss -The Heavens Remix-,SPL,5,-1,-1
ACT,SPB,1,-1,-1
ACT,SPN,2,6,532
ACT,SPH,3,9,864
ACT,SPA,4,9,935
ACT,SPL,5,-1,-1
ATOMIC AGE,SPB,1,-1,-1
ATOMIC AGE,SPN,2,2,184
ATOMIC AGE,SPH,3,5,341
ATOMIC AGE,SPA,4,9,679
ATOMIC AGE,SPL,5,-1,-1
BAD BOY BASS!! (dj Remo-con MIX),SPB,1,-1,-1
BAD BOY BASS!! (dj Remo-con MIX),SPN,2,5,468
BAD BOY BASS!! (dj Remo-con MIX),SPH,3,7,714
BAD BOY BASS!! (dj Remo-con MIX),SPA,4,8,908
BAD BOY BASS!! (dj Remo-con MIX),SPL,5,-1,-1
bag,SPB,1,-1,-1
bag,SPN,2,5,468
bag,SPH,3,6,621
